"ranker","game_date","game_num","age","team","game_location","opp","game_result","gs","pass_cmp","pass_att","pass_cmp_perc","pass_yds","pass_td","pass_int","pass_rating","pass_sacked","pass_sacked_yds","pass_yds_per_att","pass_adj_yds_per_att","rush_att","rush_yds","rush_yds_per_att","rush_td","all_td","scoring"
"1","2016-09-11","1","37-240","NOR","","OAK","L 34-35","*","28","42","66.67","423","4","0","131.3","1","4","10.07","11.98","2","5","2.50","0","0","0"
"2","2016-09-18","2","37-247","NOR","@","NYG","L 13-16","*","29","44","65.91","263","1","0","89.5","2","16","5.98","6.43","0","0","","0","0","0"
"3","2016-09-26","3","37-255","NOR","","ATL","L 32-45","*","36","54","66.67","376","3","1","97.5","2","17","6.96","7.24","2","9","4.50","0","0","0"
"4","2016-10-02","4","37-261","NOR","@","SDG","W 35-34","*","23","36","63.89","207","2","2","74.7","2","15","5.75","4.36","4","-4","-1.00","0","0","0"
"5","2016-10-16","5","37-275","NOR","","CAR","W 41-38","*","34","49","69.39","465","4","1","118.2","1","5","9.49","10.20","0","0","","0","0","0"
"6","2016-10-23","6","37-282","NOR","@","KAN","L 21-27","*","37","48","77.08","367","3","1","110.3","1","8","7.65","7.96","0","0","","0","0","0"
"7","2016-10-30","7","37-289","NOR","","SEA","W 25-20","*","27","35","77.14","265","1","0","107.4","2","13","7.57","8.14","1","1","1.00","1","1","6"
"8","2016-11-06","8","37-296","NOR","@","SFO","W 41-23","*","28","39","71.79","323","3","0","122.1","1","0","8.28","9.82","2","-2","-1.00","0","0","0"
"9","2016-11-13","9","37-303","NOR","","DEN","L 23-25","*","21","29","72.41","303","3","2","111.7","1","10","10.45","9.41","2","9","4.50","0","0","0"
"10","2016-11-17","10","37-307","NOR","@","CAR","L 20-23","*","35","44","79.55","285","2","1","99.3","3","21","6.48","6.36","2","0","0.00","0","0","0"
"11","2016-11-27","11","37-317","NOR","","LAR","W 49-21","*","28","36","77.78","310","4","0","139.6","2","14","8.61","10.83","1","1","1.00","1","1","6"
"12","2016-12-04","12","37-324","NOR","","DET","L 13-28","*","31","44","70.45","326","0","3","63.3","1","7","7.41","4.34","0","0","","0","0","0"
"13","2016-12-11","13","37-331","NOR","@","TAM","L 11-16","*","25","41","60.98","257","0","3","48.5","1","9","6.27","2.98","1","2","2.00","0","0","0"
"14","2016-12-18","14","37-338","NOR","@","ARI","W 48-41","*","37","48","77.08","389","4","0","127.9","3","31","8.10","9.77","2","-2","-1.00","0","0","0"
"15","2016-12-24","15","37-344","NOR","","TAM","W 31-24","*","23","34","67.65","299","1","0","104.9","2","5","8.79","9.38","4","1","0.25","0","0","0"
"16","2017-01-01","16","37-352","NOR","@","ATL","L 32-38","*","29","50","58.00","350","2","1","84.6","2","9","7.00","6.90","0","0","","0","0","0"